dlq>>> initialisiert mit Kapazitaet 20198.
HBQ>>> Nachricht 3 in HBQ eingefuegt.
HBQ>>> Nachricht 2 in HBQ eingefuegt.
HBQ>>> Nachricht 4 in HBQ eingefuegt.
HBQ>>> Nachricht 6 in HBQ eingefuegt.
HBQ>>> Nachricht 7 in HBQ eingefuegt.
HBQ>>> Nachricht 8 in HBQ eingefuegt.
HBQ>>> Nachricht 9 in HBQ eingefuegt.
HBQ>>> Nachricht 5 in HBQ eingefuegt.
HBQ>>> Nachricht 11 in HBQ eingefuegt.
HBQ>>> Nachricht 12 in HBQ eingefuegt.
HBQ>>> Nachricht 10 in HBQ eingefuegt.
HBQ>>> Nachricht 14 in HBQ eingefuegt.
HBQ>>> Nachricht 15 in HBQ eingefuegt.
HBQ>>> Nachricht 13 in HBQ eingefuegt.
HBQ>>> Nachricht 16 in HBQ eingefuegt.
HBQ>>> Nachricht 18 in HBQ eingefuegt.
HBQ>>> Nachricht 17 in HBQ eingefuegt.
HBQ>>> Nachricht 19 in HBQ eingefuegt.
HBQ>>> Nachricht 21 in HBQ eingefuegt.
HBQ>>> Nachricht 22 in HBQ eingefuegt.
HBQ>>> Nachricht 23 in HBQ eingefuegt.
HBQ>>> Nachricht 20 in HBQ eingefuegt.
HBQ>>> Nachricht 24 in HBQ eingefuegt.
HBQ>>> Nachricht 26 in HBQ eingefuegt.
HBQ>>> Nachricht 25 in HBQ eingefuegt.
HBQ>>> Nachricht 28 in HBQ eingefuegt.
HBQ>>> Nachricht 27 in HBQ eingefuegt.
HBQ>>> Nachricht 30 in HBQ eingefuegt.
HBQ>>> Nachricht 31 in HBQ eingefuegt.
HBQ>>> Nachricht 29 in HBQ eingefuegt.
HBQ>>> Nachricht 33 in HBQ eingefuegt.
HBQ>>> Nachricht 32 in HBQ eingefuegt.
HBQ>>> Nachricht 34 in HBQ eingefuegt.
HBQ>>> Nachricht 35 in HBQ eingefuegt.
HBQ>>> Nachricht 37 in HBQ eingefuegt.
HBQ>>> Nachricht 38 in HBQ eingefuegt.
HBQ>>> Nachricht 39 in HBQ eingefuegt.
HBQ>>> Nachricht 40 in HBQ eingefuegt.
HBQ>>> Nachricht 36 in HBQ eingefuegt.
HBQ>>> Nachricht 41 in HBQ eingefuegt.
HBQ>>> Nachricht 42 in HBQ eingefuegt.
HBQ>>> Nachricht 43 in HBQ eingefuegt.
HBQ>>> Nachricht 45 in HBQ eingefuegt.
HBQ>>> Nachricht 44 in HBQ eingefuegt.
HBQ>>> Nachricht 46 in HBQ eingefuegt.
HBQ>>> Nachricht 47 in HBQ eingefuegt.
HBQ>>> Nachricht 49 in HBQ eingefuegt.
HBQ>>> Nachricht 50 in HBQ eingefuegt.
HBQ>>> Nachricht 51 in HBQ eingefuegt.
